,
Procedure + Quantity,CHARGE
Perq vertebral augmentation - 1,12641
Perq vertebral augmentation - 1,12641
Drain shoulder lesion - 1,4871
Drain shoulder bursa - 1,2751
Biopsy shoulder tissues - 1,2472
"Removal Fb Shoulder, Deep - 1",3531
Remove shoulder fb deep - 1,1923
Injection for shoulder x-ray - 1,483
Treat clavicle fracture - 1,450
Treat clavicle fracture - 1,2627
Treat clavicle dislocation - 1,450
Treat clavicle dislocation - 1,2627
Treat clavicle dislocation - 1,450
Treat clavicle dislocation - 1,2627
Treat shoulder blade fx - 1,450
Treat shoulder blade fx - 1,2627
Treat humerus fracture - 1,450
Treat humerus fracture - 1,2627
Treat humerus fracture - 1,450
Treat humerus fracture - 1,2627
Treat shoulder dislocation - 1,326
Treat shoulder dislocation - 1,2783
Treat dislocation/fracture - 1,2627
Treat dislocation/fracture - 1,2627
Drainage of arm lesion - 1,2751
Drainage of arm bursa - 1,2751
Exploratory elbow surgery - 1,4442
Biopsy arm/elbow soft tissue - 1,2490
Exc arm/elbow les sc < 3 cm - 1,2358
Removal of arm foreign body - 1,2066
Treat humerus fracture - 1,450
Treat humerus fracture - 1,2434
Treat humerus fracture - 1,450
Treat humerus fracture - 1,2627
Treat humerus fracture - 1,450
Treat humerus fracture - 1,2627
Treat humerus fracture - 1,450
Treat humerus fracture - 1,2627
Treat elbow dislocation - 1,326
Treat elbow dislocation - 1,2627
Treat elbow fracture - 1,2627
Treat elbow dislocation - 1,450
Treat radius fracture - 1,326
Treat radius fracture - 1,2627
Treat ulnar fracture - 1,450
Treat ulnar fracture - 1,2627
Upper arm/elbow surgery - 1,326
Drainage of forearm lesion - 1,5247
Drainage of forearm bursa - 1,2627
Biopsy forearm soft tissues - 1,2472
Remove wrist tendon lesion - 1,3165
Treat fracture of radius - 1,450
Treat fracture of radius - 1,2627
Treat fracture of radius - 1,2627
Treat fracture of ulna - 1,450
Treat fracture of ulna - 1,450
Treat fracture radius & ulna - 1,326
Treat fracture radius & ulna - 1,2627
Treat fracture radius/ulna - 1,326
Treat fracture radius/ulna - 1,2434
Treat wrist bone fracture - 1,326
Treat wrist bone fracture - 1,2627
Treat wrist bone fracture - 1,326
Treat wrist bone fracture - 1,2627
Treat wrist bone fracture - 1,450
Treat wrist dislocation - 1,450
Treat wrist dislocation - 1,450
Treat wrist fracture - 1,450
Treat wrist dislocation - 1,2627
Forearm or wrist surgery - 1,326
Drainage of finger abscess - 1,308
Drainage of finger abscess - 1,1793
Drain hand tendon sheath - 1,5247
